Sale Key,WWI Invoice ID,Invoice Date,Delivery Date,Delivery Status,Year,Quarter,Month,Month Name,Year Month,Day Of Week,City Key,Customer Key,Bill To Customer Key,Salesperson Key,Stock Item Key,Description,Product Category,Package,Quantity,Unit Price,Sales Excl Tax,Tax Rate,Tax Amount,Sales Incl Tax,Profit,Total Dry Items,Total Chiller Items,High Value Order Flag,Lineage Key
49265,15189,2013-10-22,2013-10-23,Delivered,2013,4,10,Oct,2013-10,Tuesday,41568,0,0,83,204,DBA joke mug - mind if I join you? (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
49372,15218,2013-10-22,2013-10-23,Delivered,2013,4,10,Oct,2013-10,Tuesday,48937,0,0,83,173,Developer joke mug - a foo walks into a bar (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
50379,15525,2013-10-28,2013-10-29,Delivered,2013,4,10,Oct,2013-10,Monday,91464,0,0,70,174,Developer joke mug - a foo walks into a bar (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
51852,15986,2013-11-06,2013-11-07,Delivered,2013,4,11,Nov,2013-11,Wednesday,48937,0,0,74,171,Developer joke mug - this code was generated by a tool (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
52374,16138,2013-11-08,2013-11-09,Delivered,2013,4,11,Nov,2013-11,Friday,89925,0,0,39,203,DBA joke mug - mind if I join you? (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
53463,16464,2013-11-15,2013-11-16,Delivered,2013,4,11,Nov,2013-11,Friday,72709,0,0,91,183,Developer joke mug - when your hammer is C++ (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
53591,16501,2013-11-16,2013-11-17,Delivered,2013,4,11,Nov,2013-11,Saturday,87633,0,0,91,202,DBA joke mug - daaaaaa-ta (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
54792,16867,2013-11-22,2013-11-23,Delivered,2013,4,11,Nov,2013-11,Friday,77092,0,0,91,176,Developer joke mug - there are 10 types of people in the world (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
55582,17112,2013-11-28,2013-11-29,Delivered,2013,4,11,Nov,2013-11,Thursday,47692,0,0,19,175,Developer joke mug - there are 10 types of people in the world (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
56531,17405,2013-12-03,2013-12-04,Delivered,2013,4,12,Dec,2013-12,Tuesday,47134,0,0,91,191,DBA joke mug - two types of DBAs (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
57267,17632,2013-12-07,2013-12-08,Delivered,2013,4,12,Dec,2013-12,Saturday,72894,0,0,81,188,Developer joke mug - that's a hardware problem (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
57869,17823,2013-12-12,2013-12-13,Delivered,2013,4,12,Dec,2013-12,Thursday,91464,0,0,39,169,Developer joke mug - old C developers never die (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
57915,17838,2013-12-12,2013-12-13,Delivered,2013,4,12,Dec,2013-12,Thursday,47692,0,0,86,166,IT joke mug - that behavior is by design (White),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
58792,18115,2013-12-19,2013-12-20,Delivered,2013,4,12,Dec,2013-12,Thursday,48937,0,0,39,171,Developer joke mug - this code was generated by a tool (Black),Novelty Mugs,Each,6,13.0,78.0,15,11.7,89.7,51.0,6,0,False,11
49620,15295,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,87481,0,0,19,182,Developer joke mug - inheritance is the OO way to become wealthy (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
49812,15352,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,76936,0,0,39,165,IT joke mug - that behavior is by design (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
50099,15437,2013-10-25,2013-10-26,Delivered,2013,4,10,Oct,2013-10,Friday,91464,0,0,83,195,DBA joke mug - I will get you in order (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
50101,15437,2013-10-25,2013-10-26,Delivered,2013,4,10,Oct,2013-10,Friday,91464,0,0,83,172,Developer joke mug - this code was generated by a tool (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
51288,15809,2013-11-01,2013-11-02,Delivered,2013,4,11,Nov,2013-11,Friday,48763,0,0,81,183,Developer joke mug - when your hammer is C++ (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
52005,16031,2013-11-06,2013-11-07,Delivered,2013,4,11,Nov,2013-11,Wednesday,76936,0,0,84,201,DBA joke mug - daaaaaa-ta (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
52109,16065,2013-11-07,2013-11-08,Delivered,2013,4,11,Nov,2013-11,Thursday,47692,0,0,83,203,DBA joke mug - mind if I join you? (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
53210,16381,2013-11-14,2013-11-15,Delivered,2013,4,11,Nov,2013-11,Thursday,44333,0,0,91,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
